name,online_order,book_table,votes,"approx_cost(for two people)",listed_in(type),RATE
"Sugar Rush",Yes,No,34,100,Dining,3.6
"Burger King",No,No,868,700,Dining,4.1
"The Good Bowl",No,No,39,300,Dining,3.8
"The Biryani Cafe",Yes,No,71,600,Dining,3.2
"Spicy Tandoor",Yes,No,6,500,Dining,3.6
"LSD Cafe",No,No,520,300,Dining,4.1
"Rolls On Wheels",No,No,0,150,Dining,4.1
"Om Sri Vinayaka Chats",No,No,84,700,other,2.9
"Sri Guru Kottureshwara Davangere Benne Dosa",No,No,299,300,Dining,3.6
"Devanna Dum Biriyani Centre",No,No,0,500,Dining,3.6
Kolbeh,Yes,No,558,150,Dining,4.1
"Upahar Sagar",Yes,No,28,300,Dining,3.6
"Kadalu Sea Food Restaurant",No,No,22,500,Dining,3.7
"Frozen Bottle",No,No,39,350,Dining,3.8
"Parimala Sweets",Yes,No,153,500,Dining,3.8
"Vaishali Deluxe",Yes,No,146,400,Dining,4.2
"Chill Out",No,No,14,200,Dining,3.5
"The Big O Bakes",No,No,42,700,Dining,3.8
"Meghana Foods",No,No,0,100,Dining,3.8
"Krishna Sagar",No,No,66,300,Dining,4
"Dessert Rose",Yes,No,4401,600,Dining,4.4
"Chickpet Donne Biryani House",No,No,31,200,Dining,3.5
"Me And My Cake",No,No,7,500,Dining,3.5
Sunsadm,No,No,21,250,Dining,3.7
"Annapooraneshwari Mess",No,No,0,500,Dining,3.7
"Thanco's Natural Ice Creams",No,No,0,400,Dining,3.7
"Nandhini Deluxe",No,No,0,200,Dining,3.7
"Vi Ra's Bar and Restaurant",No,No,9,300,Dining,3.2
Kaggis,No,No,283,600,Dining,2.6
"Ayda Persian Kitchen",No,No,62,800,Dining,3.3
"Chatar Patar",No,No,64,250,Dining,3.8
"Polar Bear",No,No,39,950,Dining,3.7
"Kidambi's Kitchen",No,No,65,300,Dining,3.7
"Mane Thindi",Yes,No,71,400,Dining,3.8
"Kotian Karavali Restaurant",No,No,52,300,Dining,3.5
"Floured-Baked With Love",No,No,130,200,Dining,3.7
"Cakes & Slices",No,No,10,300,Dining,3.5
"Spice 9",No,No,45,400,Dining,3.8
"Coffee Shopee",No,No,11,600,Dining,3.2
"Naveen Kabab & Biriyani Mane",No,No,13,300,Dining,3.5
"Katriguppe Donne Biryani",No,No,8,300,Dining,3.4
"Hari Super Sandwich",No,No,0,250,Dining,3.4
"Atithi Point Ande Ka Funda",No,No,9,300,Dining,3.2
"Just Bake",No,No,4,300,Dining,3.2
"Dharwad Line Bazaar Mishra Pedha",No,No,0,200,Dining,3.2
"Cake Bite",No,No,29,150,Dining,3.1
"Aarush's Food Plaza",No,No,8,400,Dining,3.4
"Wood Stove",No,No,0,150,Dining,3.4
"Kulfi & More",No,No,0,300,Dining,3.4
"Kannadigas Karavali",No,No,0,200,Dining,3.4
"K27 - The Pub",No,No,0,150,Dining,3.4
"Bengaluru Coffee House",No,No,0,150,Dining,3.4
"New Mangalore Lunch Home",No,No,0,250,Dining,3.4
"Coffee Bytes",No,No,30,900,Dining,3.1
"Parjanya Chat Zone",Yes,No,201,300,Dining,4.1
"Kwality Wall's Swirl's Happiness Station",No,No,7,200,Dining,3.3
"Soms Kitchen & Bakes",No,No,6,100,Dining,3.1
"Banashankari Nati Style",No,No,17,200,Dining,3.3
"Ruchi Maayaka",No,No,25,200,Dining,2.9
"Mohitesh Hut Roll",No,No,0,400,Dining,2.9
"Sri Basaveshwar Jolada Rotti Oota",No,No,0,350,Dining,2.9
"Roll Magic Fast Food",No,No,8,100,Dining,3.3
"Foodlieious Multi Cuisine",No,No,0,150,Dining,3.3
"Thanishka Nati And Karavali Style",No,No,0,150,Dining,3.4
"Swathi Cool Point",No,No,0,200,Dining,3.4
"Kaumudis Juoice",No,No,0,100,Dining,3.4
"Amma - Manae",No,No,0,400,Dining,3.1
"Sri Sai Tiffannies",No,No,0,200,Dining,4.1
"Hotel Andhra Speices",No,No,0,150,Dining,3.3
"Sri Murari Family Restaurant",No,No,0,400,Dining,3.1
"Aramane Donne Biriyani",No,No,0,150,Dining,3.3
Darkolates,No,No,0,250,Dining,2.9
"Swaada Healthy Kitchen",No,No,0,250,Dining,2.9
"Gawdaru Mane Beriyani",No,No,0,150,Dining,2.9
"Melting Melodies",No,No,0,200,Dining,3.3
"New Indraprasta",No,No,0,350,Dining,3.3
"Anna Kuteera",No,No,0,300,Dining,3.3
Darbar,No,No,0,100,Dining,3.3
Vijayalakshmi,No,No,0,150,Dining,3.3
,Yes,No,771,450,Dining,4
,No,No,98,800,Dining,3
,Yes,No,47,200,Dining,3.9
